order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_price,status,country,created_at
ORD-0001,CUST-0742,PROD-043,Trail Boots,Footwear,1,111.52,111.52,delivered,SG,2024-01-15 08:03:23
ORD-0002,CUST-9213,PROD-228,Monitor Light Bar,Electronics,2,184.19,368.38,delivered,NL,2024-01-15 08:09:18
ORD-0003,CUST-4486,PROD-394,Scented Candle,Home,5,78.91,394.55,confirmed,SE,2024-01-15 08:09:30
ORD-0004,CUST-3401,PROD-081,USB-C Hub,Electronics,1,37.79,37.79,delivered,CA,2024-01-15 08:09:04
ORD-0005,CUST-2329,PROD-198,Scented Candle,Home,5,130.5,652.5,pending,CA,2024-01-15 08:19:50
ORD-0006,CUST-0594,PROD-270,Blender,Kitchen,3,84.38,253.14,confirmed,US,2024-01-15 08:25:54
ORD-0007,CUST-3370,PROD-323,Resistance Bands,Sports,4,16.26,65.04,confirmed,FR,2024-01-15 08:34:11
ORD-0008,CUST-4664,PROD-361,Scented Candle,Home,4,152.61,610.44,pending,DE,2024-01-15 08:20:16
ORD-0009,CUST-7975,PROD-443,Yoga Mat,Sports,1,78.12,78.12,shipped,JP,2024-01-15 08:40:30
ORD-0010,CUST-3621,PROD-098,Sticky Notes Pack,Office,3,56.31,168.93,delivered,SG,2024-01-15 08:48:40
ORD-0011,CUST-4476,PROD-287,Foam Roller,Sports,3,16.15,48.45,confirmed,KR,2024-01-15 08:48:35
ORD-0012,CUST-3639,PROD-487,Standing Desk Mat,Office,3,55.43,166.29,shipped,AU,2024-01-15 08:48:48
ORD-0013,CUST-0798,PROD-152,Insulated Tumbler,Kitchen,2,63.57,127.14,confirmed,JP,2024-01-15 08:39:52
ORD-0014,CUST-3037,PROD-411,Sticky Notes Pack,Office,2,49.21,98.42,pending,BR,2024-01-15 09:02:32
ORD-0015,CUST-3468,PROD-242,USB-C Hub,Electronics,3,101.18,303.54,delivered,FR,2024-01-15 09:07:15
ORD-0016,CUST-5417,PROD-459,Casual Sneakers,Footwear,5,90.33,451.65,delivered,CA,2024-01-15 08:54:24
ORD-0017,CUST-2860,PROD-136,Jump Rope,Sports,2,44.74,89.48,pending,NL,2024-01-15 09:17:04
ORD-0018,CUST-5193,PROD-085,Foam Roller,Sports,5,34.56,172.8,pending,DE,2024-01-15 08:56:42
ORD-0019,CUST-0830,PROD-404,Foam Roller,Sports,5,44.16,220.8,delivered,KR,2024-01-15 08:54:47
ORD-0020,CUST-1018,PROD-261,Desk Lamp,Home,4,139.2,556.8,shipped,DE,2024-01-15 08:30:20
ORD-0021,CUST-8938,PROD-315,Noise-Cancelling Earbuds,Electronics,3,90.74,272.22,delivered,SE,2024-01-15 08:49:21
ORD-0022,CUST-9525,PROD-285,Resistance Bands,Sports,1,49.91,49.91,delivered,JP,2024-01-15 08:51:42
ORD-0023,CUST-6094,PROD-291,Coffee Maker,Kitchen,3,39.01,117.03,confirmed,AU,2024-01-15 09:41:58
ORD-0024,CUST-9756,PROD-203,Trail Boots,Footwear,1,94.25,94.25,pending,BR,2024-01-15 09:24:24
ORD-0025,CUST-4388,PROD-244,Desk Lamp,Home,2,35.65,71.3,confirmed,US,2024-01-15 08:50:50
ORD-0026,CUST-2715,PROD-254,Trail Boots,Footwear,4,89.38,357.52,confirmed,FR,2024-01-15 09:19:18
ORD-0027,CUST-1606,PROD-162,Resistance Bands,Sports,4,26.68,106.72,confirmed,GB,2024-01-15 10:06:54
ORD-0028,CUST-5114,PROD-246,Wall Clock,Home,2,99.17,198.34,delivered,DE,2024-01-15 09:58:32
ORD-0029,CUST-6948,PROD-467,Notebook Set,Office,1,20.88,20.88,pending,JP,2024-01-15 09:07:11
ORD-0030,CUST-1602,PROD-294,Coffee Maker,Kitchen,2,127.96,255.92,confirmed,US,2024-01-15 09:31:30
ORD-0031,CUST-3024,PROD-330,Wireless Mouse,Electronics,4,130.9,523.6,shipped,AU,2024-01-15 09:24:13
ORD-0032,CUST-5214,PROD-086,Wall Clock,Home,4,131.34,525.36,shipped,KR,2024-01-15 10:24:32
ORD-0033,CUST-3037,PROD-354,Throw Blanket,Home,2,157.87,315.74,cancelled,NL,2024-01-15 10:26:51
ORD-0034,CUST-9264,PROD-400,Monitor Light Bar,Electronics,3,100.86,302.58,cancelled,FR,2024-01-15 08:56:40
ORD-0035,CUST-9454,PROD-405,Coffee Maker,Kitchen,2,86.87,173.74,pending,US,2024-01-15 10:09:30
ORD-0036,CUST-4156,PROD-288,Casual Sneakers,Footwear,2,102.84,205.68,pending,JP,2024-01-15 09:42:00
ORD-0037,CUST-2370,PROD-447,Sandals,Footwear,1,76.87,76.87,confirmed,SE,2024-01-15 10:18:08
ORD-0038,CUST-4388,PROD-455,Wireless Mouse,Electronics,4,176.53,706.12,delivered,SE,2024-01-15 10:35:48
ORD-0039,CUST-3966,PROD-319,Notebook Set,Office,5,52.68,263.4,shipped,SE,2024-01-15 09:24:30
ORD-0040,CUST-3642,PROD-353,Monitor Light Bar,Electronics,5,171.8,859.0,delivered,KR,2024-01-15 10:08:00
ORD-0041,CUST-6733,PROD-309,Foam Roller,Sports,5,37.73,188.65,confirmed,DE,2024-01-15 09:15:10
ORD-0042,CUST-0589,PROD-071,Notebook Set,Office,5,13.9,69.5,shipped,AU,2024-01-15 11:22:18
ORD-0043,CUST-0488,PROD-284,Coffee Maker,Kitchen,3,47.33,141.99,shipped,DE,2024-01-15 11:17:05
ORD-0044,CUST-1592,PROD-142,Noise-Cancelling Earbuds,Electronics,2,164.96,329.92,pending,AU,2024-01-15 09:52:56
ORD-0045,CUST-4686,PROD-073,Wireless Headphones,Electronics,3,170.85,512.55,pending,SE,2024-01-15 09:58:30
ORD-0046,CUST-5959,PROD-390,Trail Boots,Footwear,5,89.6,448.0,delivered,NL,2024-01-15 10:50:58
ORD-0047,CUST-9741,PROD-195,Yoga Mat,Sports,1,27.29,27.29,delivered,BR,2024-01-15 10:32:45
ORD-0048,CUST-4261,PROD-409,Blender,Kitchen,2,143.97,287.94,shipped,KR,2024-01-15 10:56:00
ORD-0049,CUST-8630,PROD-253,Ceramic Mug,Kitchen,4,102.74,410.96,shipped,SE,2024-01-15 10:54:46
ORD-0050,CUST-9192,PROD-017,Insulated Tumbler,Kitchen,5,80.81,404.05,shipped,NL,2024-01-15 11:44:10
ORD-0051,CUST-6094,PROD-136,Noise-Cancelling Earbuds,Electronics,3,196.24,588.72,confirmed,JP,2024-01-15 09:34:21
ORD-0052,CUST-8265,PROD-117,Insulated Tumbler,Kitchen,4,139.66,558.64,confirmed,JP,2024-01-15 09:47:28
ORD-0053,CUST-2041,PROD-134,Foam Roller,Sports,2,46.6,93.2,confirmed,CA,2024-01-15 11:15:13
ORD-0054,CUST-7853,PROD-065,Wireless Mouse,Electronics,3,131.37,394.11,delivered,AU,2024-01-15 10:06:00
ORD-0055,CUST-6449,PROD-032,Scented Candle,Home,4,24.02,96.08,confirmed,DE,2024-01-15 11:34:30
ORD-0056,CUST-9431,PROD-268,Notebook Set,Office,4,40.29,161.16,confirmed,SG,2024-01-15 09:51:04
ORD-0057,CUST-9140,PROD-230,Air Purifier,Home,2,27.56,55.12,shipped,GB,2024-01-15 09:35:00
ORD-0058,CUST-4110,PROD-051,Foam Roller,Sports,2,12.22,24.44,shipped,NL,2024-01-15 12:45:10
ORD-0059,CUST-3635,PROD-451,Ceramic Mug,Kitchen,3,85.82,257.46,delivered,JP,2024-01-15 09:47:11
ORD-0060,CUST-9672,PROD-419,Ceramic Mug,Kitchen,3,44.96,134.88,shipped,NL,2024-01-15 10:04:00
ORD-0061,CUST-2041,PROD-196,Coffee Maker,Kitchen,1,13.83,13.83,pending,DE,2024-01-15 11:41:38
ORD-0062,CUST-1784,PROD-192,Ceramic Mug,Kitchen,3,146.54,439.62,shipped,KR,2024-01-15 10:32:56
ORD-0063,CUST-5066,PROD-467,Air Purifier,Home,3,56.31,168.93,pending,GB,2024-01-15 10:10:12
ORD-0064,CUST-9066,PROD-005,Bluetooth Speaker,Electronics,5,108.27,541.35,confirmed,US,2024-01-15 11:28:00
ORD-0065,CUST-9534,PROD-067,Foam Roller,Sports,2,44.33,88.66,shipped,US,2024-01-15 12:46:00
ORD-0066,CUST-8631,PROD-367,Sandals,Footwear,1,114.2,114.2,pending,US,2024-01-15 12:08:36
ORD-0067,CUST-5187,PROD-244,Wireless Headphones,Electronics,4,135.7,542.8,pending,JP,2024-01-15 13:08:12
ORD-0068,CUST-5157,PROD-047,Scented Candle,Home,5,115.64,578.2,pending,GB,2024-01-15 10:52:16
ORD-0069,CUST-7772,PROD-172,Blender,Kitchen,2,115.52,231.04,confirmed,SG,2024-01-15 12:55:33
